Label,Latin Name,Common Name,Train Images,Validation Images,Details
n0,alouatta_palliata,Mantled Howler,131,26,"The mantled howler (Alouatta palliata) is a species of howler monkey, a type of New World monkey, from Central and South America.It is one of the monkey species most often seen and heard in the wild in Central America. It takes its 'mantled' name from the long guard hairs on its sides."
n1,erythrocebus_patas,Patas Monkey,139,28,"Patas monkey, (Erythrocebus patas), long-limbed and predominantly ground-dwelling primate found in the grass and scrub regions of West and Central Africa and southeast to the Serengeti plains. The adult male patas monkey has shaggy fur set off by a white mustache and white underparts, and its build is like that of a greyhound; the female has a similar but less-striking pattern and build."
n2,cacajao_calvus,Bald Uakari,137,27,"Bald uakari (Cacajao calvus) have hairless heads, which is how they get their name and a hairless face that is red. The brighter red their face is, the more likely they are to be chosen as a mate. This is because bald uakaris live in areas prone to malaria, a nasty disease carried by mosquitoes. When these monkeys have malaria, their faces are very pale, sometimes almost white. Having a red face shows potential mates that the monkey is healthy and possibly immune to malaria."
n3,macaca_fuscata,Japanese Macaque,152,30,"The Japanese macaque (Macaca fuscata), also known as the snow monkey, is a terrestrial Old World monkey species that is native to Japan. They are colloquially referred to as 'snow monkeys' because some live in areas where snow covers the ground for months each year – no other non-human primate is more northern-living, nor lives in a colder climate. Individuals have brownish grey fur, pinkish-red faces, and short tails."
n4,cebuella_pygmea,Pygmy Marmoset,131,26,"The pygmy marmoset, cebuella pygmea, is a small genus of New World monkey native to rainforests of the western Amazon Basin in South America. It is notable for being the smallest monkey and one of the smallest primates in the world, at just over 100 grams (3.5 oz). It is generally found in evergreen and river-edge forests and is a gum-feeding specialist, or a gummivore."
n5,cebus_capucinus,White headed capuchin,141,28,"White headed capuchins live in social groups of 18 to 20 monkeys. They are omnivores and live to be around 30 years old in the wild. These monkeys make their homes in tropical evergreen and dry deciduous forests where the canopies, or tops of the trees, grow very close together. They live in Central America, specifically Honduras, Costa Rica, Panama, and Nicaragua. They are also found in South America, mainly in Colombia and Ecuador."
n6,mico_argentatus,Silvery Marmoset,132,26,"The Silvery marmoset is an easily recognizable primate with pointed jaws. This animal also exhibit unusually short, sharp canines, as an adaptation to its feeding behavior. The Silvery Marmoset has a very dark tail, due to which the animal is otherwise known as the 'Black-tailed monkey'. It is a Callitrichidae species, belonging to the group of New World monkeys. This primate is endemic to rainforests of eastern Amazon basin (Brazil). Although quite small, these animals are very intelligent creatures."
n7,saimiri_sciureus,Common Squirrel Monkey,142,28,"Squirrel monkey, (genus Saimiri), most abundant primate of riverside forests in the Guianas and the Amazon River basin, distinguished by a circle of black hairless skin around the nose and mouth set against an expressive white face. Their short, soft fur is gray to olive green, with whitish underparts. Squirrel monkeys are 25–40 cm (10–16 inches) long, not including the heavy nonprehensile tail, which is at least as long as the body. Hands, arms, and feet are yellow to orange."
n8,aotus_nigriceps,Black Headed Nightmonkey,133,27,"The black-headed night monkey is a night monkey species from South America. It is found in Brazil, Bolivia and Peru. The A. nigriceps in Peru were notably inhabiting areas that were degraded, and often these areas were disturbed either by human activities or natural occurrences in the ecosystem."
n9,trachypithecus_johnii,Nilgiri langur,132,26,"The Nilgiri langur (Semnopithecus johnii) is a langur (a type of Old World monkey) found in the Nilgiri Hills of the Western Ghats in South India. Its range also includes Kodagu in Karnataka, Kodayar Hills in Tamil Nadu, and many other hilly areas in Kerala and Tamil Nadu. This primate has glossy black fur on its body and golden brown fur on its head. It is similar in size and long-tailed like the gray langurs. Females have a white patch of fur on the inner thigh."
